question,subject
What are closed and open traverses? Explain Bowditch rule for balancing the traverse.,Advance  Surveying holder
Distinguish between stadia and tangential systems of tachecometry.,Advance  Surveying holder
Find the elements of simple circular curve.,Advance  Surveying holder
Two roads defect at angle of 600. The are to be connected by a circular curve of 2000 m radius. The chainage at the point of intersection is 4582 m. Determine: i)Length of tangents    ii)degree of curve   iii) length of the whole chord   iv) length of the arc   v) chainages at the beginning and at the end of curve.,Advance  Surveying holder
Write various methods of sounding,Advance  Surveying holder
Write the complete process of underwater mappling.,Advance  Surveying holder
Define   i) Aerial photograph   ii) Aerial camera   iii) angle of filt   iv) Air ban ,Advance  Surveying holder
Derive the expression for relief displacement and draw conclusions.,Advance  Surveying holder
Write the basic concepts of remote sensing. Explain the process of interaction of electromagnetic energy with earth surface features.,Advance  Surveying holder
What is Global Positioning System (GPS). Write it's working principle,Advance  Surveying holder
Writes short notes on (any two):   a) Scale of vertical photograph   b) GIS applications   c) Triangulation and Trilataration,Advance  Surveying holder
Draw a block diagram of GSM network and explain the function of each block.,advanced communication system
What is handoff and give different strategies for handoff detection?,advanced communication system
What is a GSM burst structure? Differentiate between the traffic channels and the control channels.,advanced communication system
What is the principle applied to the different layers of OSI model? Discuss on the function of each layer in TCP/IP.,advanced communication system
What are the components of GIS? How can GIS be incorporated in telecommunication network planning?,advanced communication system
What is the working principle of VHF Omni-directional Radio Range (VOR)? What are the types of error encountered when operating the VOR ?,advanced communication system
What is the working principle of radar? Differentiate the principle of primary and secondary radar.,advanced communication system
How does atmosphere and earth surface effect microwave propagation?,advanced communication system
What is antenna gain and its significance in radiation energy? ,advanced communication system
What are the different types of orbits used in satellite communication? Why does geostationary orbit play a predominant role in satellite communication?,advanced communication system
Write short notes on:   i) Multipath propagation   ii) Kepler's law,advanced communication system
What are the different types of memory used by various generations of computer? Explain the difference between Computer Architecture and Computer Organization?,Advanced Computer Architecture
What is the significance of VLSI in computer architecture design? Explain the VLSI processor architecture.,Advanced Computer Architecture
How can acceleration of instruction execution be achieved? Explain with necessary mathematical equations.,Advanced Computer Architecture
"What are acceleration of memory access and transfer? Suppose a cache is 8 times faster than main memory by using cache the speed up is 6 times, now calculate total cache hit.",Advanced Computer Architecture
How is the performance of instruction execution enhanced by pipeline? Mention the factors that affect the normal operation of pipeline.,Advanced Computer Architecture
What is Virtual memory? Differentiate paging with segmentation.,Advanced Computer Architecture
What are Replacement Policies adopted in Cache?,Advanced Computer Architecture
How does cache initialize? Describes the write operations technique.,Advanced Computer Architecture
Describes the set associative technique in virtual memory.,Advanced Computer Architecture
What is the basic difference between RISC and CISC systems?,Advanced Computer Architecture
What is the difference between RISC Pipeline and CISC pipeline? Explain the key reasons for the difference.,Advanced Computer Architecture
Explain the Flynn's classification of computer systems.,Advanced Computer Architecture
